INDEX,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOURNAMENT NAME,SEASON,WEEK NUMBER
1,1,T40,Lucas Glover,1,500,1,1,,,John Deere Classic,2021,41
2,T2,,Ryan Moore,1,245,0,1,,,John Deere Classic,2021,41
3,T2,,Kevin Na,1,245,0,1,,,John Deere Classic,2021,41
4,T4,T65,Sebastian Munoz,1,109,0,1,,,John Deere Classic,2021,41
5,T4,T40,Adam Schenk,1,109,0,1,,,John Deere Classic,2021,41
6,T4,T51,Scott Brown,1,109,0,1,,,John Deere Classic,2021,41
7,T4,,Luke List,1,109,0,1,,,John Deere Classic,2021,41
8,T8,T4,Hank Lebioda,1,80,0,1,,,John Deere Classic,2021,41
9,T8,,Brian Stuard,1,80,0,1,,,John Deere Classic,2021,41
10,T8,T8,Seamus Power,1,80,0,1,,,John Deere Classic,2021,41
11,T11,,Cameron Champ,1,59,0,0,,,John Deere Classic,2021,41
12,T11,,Harold Varner III,1,59,0,0,,,John Deere Classic,2021,41
13,T11,,Russell Henley,1,59,0,0,,,John Deere Classic,2021,41
14,T11,T24,Patton Kizzire,1,59,0,0,,,John Deere Classic,2021,41
15,T11,,Jhonattan Vegas,1,59,0,0,,,John Deere Classic,2021,41
16,T11,T31,Sean O'Hair,1,59,0,0,,,John Deere Classic,2021,41
17,T11,T40,Cameron Percy,1,59,0,0,,,John Deere Classic,2021,41
18,T18,T31,Doug Ghim,1,45,0,0,,,John Deere Classic,2021,41
19,T18,T6,Brandon Hagy,1,45,0,0,,,John Deere Classic,2021,41
20,T18,T21,Maverick McNealy,1,45,0,0,,,John Deere Classic,2021,41
21,T18,,Chez Reavie,1,45,0,0,,,John Deere Classic,2021,41
22,T18,,Jason Dufner,1,45,0,0,,,John Deere Classic,2021,41
23,T23,T40,Patrick Rodgers,1,36,0,0,,,John Deere Classic,2021,41
24,T23,,Adam Long,1,36,0,0,,,John Deere Classic,2021,41
25,T23,T14,Kevin Tway,1,36,0,0,,,John Deere Classic,2021,41
26,T23,,Rafa Cabrera Bello,1,36,0,0,,,John Deere Classic,2021,41
27,T23,,Charles Howell III,1,36,0,0,,,John Deere Classic,2021,41
28,T28,,Will Gordon,1,27,0,0,,,John Deere Classic,2021,41
29,T28,,Chase Seiffert,1,27,0,0,,,John Deere Classic,2021,41
30,T28,,Jim Herman,1,27,0,0,,,John Deere Classic,2021,41
31,T28,T37,Henrik Norlander,1,27,0,0,,,John Deere Classic,2021,41
32,T28,,Martin Laird,1,27,0,0,,,John Deere Classic,2021,41
33,T28,T51,Nick Taylor,1,27,0,0,,,John Deere Classic,2021,41
34,T34,T40,Michael Gellerman,1,19,0,0,,,John Deere Classic,2021,41
35,T34,,Mito Pereira,1,19,0,0,,,John Deere Classic,2021,41
36,T34,,Daniel Berger,1,19,0,0,,,John Deere Classic,2021,41
37,T34,T51,Chesson Hadley,1,19,0,0,,,John Deere Classic,2021,41
38,T34,,Rhein Gibson,1,19,0,0,,,John Deere Classic,2021,41
39,T34,,Zach Johnson,1,19,0,0,,,John Deere Classic,2021,41
40,T34,,Vaughn Taylor,1,19,0,0,,,John Deere Classic,2021,41
41,T41,,Mark Hubbard,1,13,0,0,,,John Deere Classic,2021,41
42,T41,,Michael Thompson,1,13,0,0,,,John Deere Classic,2021,41
43,T41,T40,Kyle Stanley,1,13,0,0,,,John Deere Classic,2021,41
44,T41,T65,Camilo Villegas,1,13,0,0,,,John Deere Classic,2021,41
45,T41,,Scott Harrington,1,13,0,0,,,John Deere Classic,2021,41
46,T41,,Steve Stricker,1,13,0,0,,,John Deere Classic,2021,41
47,T47,T31,Bo Hoag,1,10,0,0,,,John Deere Classic,2021,41
48,T47,T8,Sungjae Im,1,10,0,0,,,John Deere Classic,2021,41
49,T49,,David Hearn,1,8,0,0,,,John Deere Classic,2021,41
50,T49,,Nick Watney,1,8,0,0,,,John Deere Classic,2021,41
51,T49,,John Huh,1,8,0,0,,,John Deere Classic,2021,41
52,T49,,Wes Roach,1,8,0,0,,,John Deere Classic,2021,41
53,T49,T57,Matthew NeSmith,1,8,0,0,,,John Deere Classic,2021,41
54,T54,T24,Scott Stallings,1,6,0,0,,,John Deere Classic,2021,41
55,T54,T24,Tom Lewis,1,6,0,0,,,John Deere Classic,2021,41
56,T54,1,Cam Davis,1,6,0,0,,,John Deere Classic,2021,41
57,T57,,D.J. Trahan,1,5,0,0,,,John Deere Classic,2021,41
58,T57,,Rob Oppenheim,1,5,0,0,,,John Deere Classic,2021,41
59,T57,,Peter Malnati,1,5,0,0,,,John Deere Classic,2021,41
60,T57,,Sam Ryder,1,5,0,0,,,John Deere Classic,2021,41
61,T61,,John Senden,1,5,0,0,,,John Deere Classic,2021,41
62,T61,,Shawn Stefani,1,5,0,0,,,John Deere Classic,2021,41
63,T63,,Brian Gay,1,4,0,0,,,John Deere Classic,2021,41
64,T63,,Andrew Landry,1,4,0,0,,,John Deere Classic,2021,41
65,T63,T31,J.J. Spaun,1,4,0,0,,,John Deere Classic,2021,41
66,66,,Greg Chalmers,1,3,0,0,,,John Deere Classic,2021,41
67,T67,,Scott Piercy,1,3,0,0,,,John Deere Classic,2021,41
68,T67,,Aaron Wise,1,3,0,0,,,John Deere Classic,2021,41
69,69,T21,Roger Sloan,1,3,0,0,,,John Deere Classic,2021,41
70,70,,"Ted Potter, Jr.",1,3,0,0,,,John Deere Classic,2021,41
71,1,,Cam Davis,1,500,1,1,,,Rocket Mortgage Classic,2021,40
72,T2,T34,Joaquin Niemann,1,245,0,1,,,Rocket Mortgage Classic,2021,40
73,T2,T34,Troy Merritt,1,245,0,1,,,Rocket Mortgage Classic,2021,40
74,T4,,Alex Noren,1,123,0,1,,,Rocket Mortgage Classic,2021,40
75,T4,T5,Hank Lebioda,1,123,0,1,,,Rocket Mortgage Classic,2021,40
76,T6,,Brandon Hagy,1,95,0,1,,,Rocket Mortgage Classic,2021,40
77,T6,T18,Bubba Watson,1,95,0,1,,,Rocket Mortgage Classic,2021,40
78,T8,T18,Seamus Power,1,78,0,1,,,Rocket Mortgage Classic,2021,40
